specification_id,baseline_type,baseline_label,model_family,model_label,generic_ballot_coefficient,approval_coefficient,midterm_coefficient,complexity_score,cycle,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error,absolute_mean_error,absolute_expected_seat_error,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,absolute_mean_error_rank,absolute_expected_seat_error_rank,winner_accuracy_rank,performance_score,complexity_penalty,simplicity_adjusted_score
normalized_partisan_baseline__generic_only__gb_0.90,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.9,0.0,0.0,1,,1545,0.9488042151427901,6.0786397290146725,4.6599236300000015,8.128340443476674,0.9475728155339805,0.04553007909697334,0.1624765764149738,756,745,757.0744463911736,-11,1.0744463911736375,0.9488042151427901,1.0744463911736375,33.0,29.0,1.0,4.0,33.0,3.0,15.0,0.13768115942028986,0.0,0.13768115942028986
normalized_partisan_baseline__generic_only__gb_0.85,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.85,0.0,0.0,1,,1545,0.7752281633628546,6.037760903717585,4.55171359,8.094418955969509,0.945631067961165,0.0455584829596595,0.1623404811592431,756,742,754.0499696657646,-14,-1.9500303342354073,0.7752281633628546,1.9500303342354073,27.0,24.0,3.0,2.0,27.0,5.0,28.5,0.13828502415458938,0.0,0.13828502415458938
normalized_partisan_baseline__generic_only__gb_0.80,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.8,0.0,0.0,1,,1545,0.6016521115829191,6.007320230578427,4.526664099999998,8.068473575533746,0.9436893203883495,0.04563492680654513,0.16231677622457816,756,737,751.0447366258766,-19,-4.955263374123433,0.6016521115829191,4.955263374123433,23.0,18.0,5.0,1.0,21.0,12.0,41.5,0.14553140096618356,0.0,0.14553140096618356
normalized_partisan_baseline__generic_only__gb_0.70,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.7,0.0,0.0,1,,1545,0.25450000802304856,5.972227880767424,4.515794800000002,8.040796244876834,0.941747572815534,0.04592834410953064,0.16260382772710275,756,734,745.0920787074747,-22,-10.907921292525316,0.25450000802304856,10.907921292525316,13.0,9.0,9.0,5.0,9.0,30.0,63.0,0.16062801932367152,0.0,0.16062801932367152
normalized_partisan_baseline__generic_only__gb_0.95,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.95,0.0,0.0,1,,1545,1.1223802669227254,6.128014543952499,4.800841169999998,8.170138690988448,0.948220064724919,0.0455505653880305,0.16272573752276026,756,748,760.1180987060161,-8,4.118098706016099,1.1223802669227254,4.118098706016099,39.0,35.0,2.0,6.0,40.0,11.0,8.0,0.16304347826086957,0.0,0.16304347826086957
normalized_partisan_baseline__generic_only__gb_0.75,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.75,0.0,0.0,1,,1545,0.4280760598029847,5.98500703677519,4.568707985,8.050581418633186,0.941747572815534,0.04575852165535888,0.162404784314584,756,734,748.0587759295872,-22,-7.941224070412773,0.4280760598029847,7.941224070412773,18.0,13.0,7.0,3.0,15.0,21.0,63.0,0.16545893719806762,0.0,0.16545893719806762
normalized_partisan_baseline__generic_only__gb_0.65,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.65,0.0,0.0,1,,1545,0.08092395624311376,5.96764955097066,4.487391109999999,8.03914765754658,0.9411003236245955,0.046143440658794985,0.16291322964458335,756,733,742.1446005727507,-23,-13.855399427249267,0.08092395624311376,13.855399427249267,11.0,7.0,10.0,7.0,3.0,39.0,69.5,0.16847826086956522,0.0,0.16847826086956522
normalized_partisan_baseline__generic_plus_approval__gb_0.75,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval,Generic ballot + approval,0.75,0.5,0.0,2,,1545,0.7342249272440516,5.987623740411014,4.445224233349997,8.06994993606379,0.9449838187702265,0.04635066976936541,0.16394215639140328,756,739,753.8264599798849,-17,-2.1735400201150696,0.7342249272440516,2.1735400201150696,19.0,19.0,14.0,12.0,26.0,7.0,32.5,0.14190821256038647,0.05,0.19190821256038648
normalized_partisan_baseline__generic_only__gb_0.60,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,0.6,0.0,0.0,1,,1545,-0.09265209553682156,5.969798660764835,4.44908204,8.045640658311543,0.9411003236245955,0.04640283185953741,0.16333231535208692,756,731,739.2162637060824,-25,-16.783736293917627,0.09265209553682156,16.783736293917627,12.0,11.0,16.0,9.0,4.0,47.0,69.5,0.1926328502415459,0.0,0.1926328502415459
normalized_partisan_baseline__generic_plus_approval__gb_0.80,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval,Generic ballot + approval,0.8,0.5,0.0,2,,1545,0.9078009790239869,6.02211485386668,4.445941203350003,8.097802475858247,0.9462783171521035,0.04628731964118027,0.16399690250256266,756,741,756.835607934449,-15,0.8356079344489444,0.9078009790239869,0.8356079344489444,25.0,25.0,12.0,13.0,32.0,1.0,24.5,0.14432367149758454,0.05,0.19432367149758456
normalized_partisan_baseline__generic_plus_approval__gb_0.70,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval,Generic ballot + approval,0.7,0.5,0.0,2,,1545,0.5606488754641168,5.964023292225449,4.433208416499994,8.050138305505303,0.943042071197411,0.046461232036420316,0.16399920836105064,756,736,750.8364778912605,-20,-5.163522108739471,0.5606488754641168,5.163522108739471,10.0,12.0,17.0,14.0,20.0,14.0,47.5,0.14553140096618356,0.05,0.19553140096618354
normalized_partisan_baseline__generic_only__gb_1.00,normalized_partisan_baseline,Normalized partisan baseline,generic_only,Generic ballot only,1.0,0.0,0.0,1,,1545,1.2959563187026604,6.184765390049586,4.862858181,8.219693536230055,0.9488673139158577,0.045620748719869465,0.163088636823261,756,751,763.1808172909472,-5,7.180817290947175,1.2959563187026604,7.180817290947175,45.0,41.0,4.0,8.0,49.0,20.0,3.0,0.1956521739130435,0.0,0.1956521739130435
normalized_partisan_baseline__generic_plus_approval__gb_0.65,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval,Generic ballot + approval,0.65,0.5,0.0,2,,1545,0.3870728236841811,5.948172752336452,4.433399193350002,8.03842703764732,0.9423948220064725,0.04661809037457707,0.1641673843726774,756,733,747.8656592333068,-23,-8.134340766693185,0.3870728236841811,8.134340766693185,6.0,6.0,24.0,17.0,14.0,23.0,55.0,0.15458937198067632,0.05,0.20458937198067634
normalized_partisan_baseline__generic_plus_approval__gb_0.60,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval,Generic ballot + approval,0.6,0.5,0.0,2,,1545,0.21349677190424643,5.940495376341372,4.4233884835,8.034851552830519,0.9423948220064725,0.04682029802263364,0.1644460109841949,756,733,744.9139658636718,-23,-11.08603413632818,0.21349677190424643,11.08603413632818,4.0,5.0,29.0,22.0,8.0,32.0,55.0,0.16062801932367152,0.05,0.21062801932367153
normalized_partisan_baseline__generic_plus_approval__gb_0.85,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval,Generic ballot + approval,0.85,0.5,0.0,2,,1545,1.0813770308039223,6.066355851548556,4.585428383500009,8.133613320049323,0.9475728155339805,0.04627206271987634,0.1641641200305633,756,745,759.8638865254352,-11,3.8638865254351913,1.0813770308039223,3.8638865254351913,31.0,31.0,11.0,16.0,39.0,8.0,15.0,0.16304347826086957,0.05,0.21304347826086956
normalized_partisan_baseline__generic_plus_approval_plus_midterm__gb_0.65,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.65,0.5,0.5,3,,1545,0.3848074515158963,5.954333715605061,4.4167077664999965,8.03373906214731,0.945631067961165,0.046723574918858854,0.16441470280370668,756,734,748.042873921401,-22,-7.9571260785990034,0.3848074515158963,7.9571260785990034,9.0,4.0,27.0,20.0,13.0,22.0,28.5,0.125,0.1,0.225
normalized_partisan_baseline__generic_plus_approval_plus_midterm__gb_0.75,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.75,0.5,0.5,3,,1545,0.7319595550757668,6.01102404167121,4.473245663500002,8.078706785817975,0.948220064724919,0.04653604009162162,0.1643780815847146,756,740,754.0328966105228,-16,-1.967103389477188,0.7319595550757668,1.967103389477188,24.0,21.0,20.0,19.0,25.0,6.0,8.0,0.12560386473429952,0.1,0.22560386473429953
normalized_partisan_baseline__generic_plus_approval_plus_midterm__gb_0.60,normalized_partisan_baseline,Normalized partisan baseline,generic_plus_approval_plus_midterm,Generic ballot + approval + midterm,0.6,0.5,0.5,3,,1545,0.2112313997359616,5.939596724527132,4.3940930735,8.02341042913413,0.944336569579288,0.04688689101791952,0.16459983011902643,756,732,745.0764914939004,-24,-10.923508506099552,0.2112313997359616,10.923508506099552,3.0,2.0,30.0,25.0,7.0,31.0,36.5,0.1322463768115942,0.1,0.2322463768115942
