cycle,component_neutralized,race_id,district_id,state,baseline_model_margin_dem,neutralized_model_margin_dem,neutralized_minus_baseline_margin,absolute_margin_change,margin_changed,baseline_incumbency_adjustment_dem,neutralized_incumbency_adjustment_dem,baseline_district_elasticity,neutralized_district_elasticity,baseline_dem_candidate_is_incumbent,neutralized_dem_candidate_is_incumbent,baseline_gop_candidate_is_incumbent,neutralized_gop_candidate_is_incumbent
2018,district_elasticity,IL-2,IL-2,IL,61.9135,64.87,2.9565000000000055,2.9565000000000055,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,AZ-9,AZ-9,AZ,18.663432432432433,21.619932432432435,2.956500000000002,2.956500000000002,True,0.0,0.0,0.55,1.0,False,False,False,False
2018,district_elasticity,FL-22,FL-22,FL,18.8135,21.770000000000003,2.956500000000002,2.956500000000002,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,ME-1,ME-1,ME,17.6441,20.600600000000004,2.956500000000002,2.956500000000002,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,OH-8,OH-8,OH,-34.31142236024845,-31.354922360248448,2.956500000000002,2.956500000000002,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,PA-5,PA-5,PA,29.303771739130436,32.26027173913044,2.956500000000002,2.956500000000002,True,0.0,0.0,0.55,1.0,False,False,False,False
2018,district_elasticity,WA-1,WA-1,WA,19.3135,22.270000000000003,2.956500000000002,2.956500000000002,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,WA-6,WA-6,WA,15.313500000000001,18.270000000000003,2.956500000000002,2.956500000000002,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,AK-AL,AK-AL,AK,-15.1865,-12.23,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,AZ-2,AZ-2,AZ,10.4135,13.370000000000001,2.9565,2.9565,True,0.0,0.0,0.55,1.0,False,False,False,False
2018,district_elasticity,CT-5,CT-5,CT,5.6135,8.57,2.9565,2.9565,True,0.0,0.0,0.55,1.0,False,False,False,False
2018,district_elasticity,FL-18,FL-18,FL,-9.186499999999999,-6.229999999999999,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,GA-1,GA-1,GA,-15.486500000000001,-12.530000000000001,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,MI-6,MI-6,MI,-8.3865,-5.43,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,MI-8,MI-8,MI,-6.6865000000000006,-3.7300000000000004,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,NC-6,NC-6,NC,-14.6865,-11.73,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,NH-2,NH-2,NH,5.413500000000001,8.370000000000001,2.9565,2.9565,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,NJ-3,NJ-3,NJ,-5.819000000000001,-2.8625000000000007,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,NY-11,NY-11,NY,-10.120067073170732,-7.163567073170732,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,PA-6,PA-6,PA,10.564125,13.520625,2.9565,2.9565,True,0.0,0.0,0.55,1.0,False,False,False,False
2018,district_elasticity,RI-2,RI-2,RI,10.1135,13.07,2.9565,2.9565,True,1.5,1.5,0.55,1.0,True,True,False,False
2018,district_elasticity,UT-2,UT-2,UT,-15.138298780487807,-12.181798780487807,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,WA-5,WA-5,WA,-13.0865,-10.129999999999999,2.9565,2.9565,True,-1.5,-1.5,0.55,1.0,False,False,True,True
2018,district_elasticity,AZ-1,AZ-1,AZ,2.9635000000000002,5.92,2.9564999999999997,2.9564999999999997,True,1.5,1.5,0.55,1.0,True,True,False,False
