cycle,district_id,forecast_source,model_margin_dem,actual_margin_dem,margin_error_dem,absolute_margin_error,dem_win_probability,actual_dem_win,probability_error_dem,party_control_fixed,presidential_baseline_dem,environment_adjustment_dem,state_adjustment_dem,elasticity_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,polling_adjustment_dem,fundamentals_margin_dem
2016,AK-AL,calculated_from_components,-15.809999999999999,-14.29892472,-1.5110752799999982,1.5110752799999982,0.02398815722364335,0.0,0.02398815722364335,,,,,,-2.25,0.0,,
2016,AL-1,calculated_from_components,-26.11,-96.38246724,70.27246724,70.27246724,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,AL-2,calculated_from_components,-28.21,-8.24234229,-19.96765771,19.96765771,0.0002088663591695546,0.0,0.0002088663591695546,,,,,,-2.25,0.0,,
2016,AL-3,calculated_from_components,-27.21,-33.99987461,6.789874609999998,6.789874609999998,0.0003325984094710818,0.0,0.0003325984094710818,,,,,,-2.25,0.0,,
2016,AL-4,calculated_from_components,-52.51,-98.5303453,46.020345299999995,46.020345299999995,0.0,0.0,0.0,R,,,,,-2.25,0.0,,
2016,AL-5,calculated_from_components,-30.71,-33.54014906,2.8301490599999966,2.8301490599999966,6.118476440631098e-05,0.0,6.118476440631098e-05,,,,,,-2.25,0.0,,
2016,AL-6,calculated_from_components,-51.31,-49.07411344,-2.2358865600000044,2.2358865600000044,6.901072783761479e-11,0.0,6.901072783761479e-11,,,,,,-2.25,0.0,,
2016,AL-7,calculated_from_components,48.089999999999996,98.41306624,-50.32306624000001,50.32306624000001,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,AR-1,calculated_from_components,-26.41,-76.27807025,49.86807025,49.86807025,0.0004774832318730946,0.0,0.0004774832318730946,,,,,,-2.25,0.0,,
2016,AR-2,calculated_from_components,-13.510000000000002,-21.53148804,8.021488039999998,8.021488039999998,0.04552498395157314,0.0,0.04552498395157314,,,,,,-2.25,0.0,,
2016,AR-3,calculated_from_components,-35.61,-77.31811596,41.70811596,41.70811596,4.209514290200342e-06,0.0,4.209514290200342e-06,,,,,,-2.25,0.0,,
2016,AR-4,calculated_from_components,-27.61,-74.90405842,47.29405842,47.29405842,0.00027660990779106105,0.0,0.00027660990779106105,,,,,,-2.25,0.0,,
2016,AZ-1,calculated_from_components,-1.96,7.293648249,-9.253648249000001,9.253648249000001,0.40316447106338926,1.0,-0.5968355289366107,,,,,,0.0,0.0,,
2016,AZ-2,calculated_from_components,-3.21,-13.91698529,10.706985289999999,10.706985289999999,0.34401878122940166,0.0,0.34401878122940166,,,,,,-2.25,0.0,,
2016,AZ-3,calculated_from_components,27.29,98.41493694,-71.12493694,71.12493694,1.0,1.0,0.0,D,,,,,2.25,0.0,,
2016,AZ-4,calculated_from_components,-37.910000000000004,-42.9067044,4.996704399999999,4.996704399999999,1.0584340929954984e-06,0.0,1.0584340929954984e-06,,,,,,-2.25,0.0,,
2016,AZ-5,calculated_from_components,-28.66,-28.19032625,-0.4696737500000019,0.4696737500000019,0.00016859873873155813,0.0,0.00016859873873155813,,,,,,0.0,0.0,,
2016,AZ-6,calculated_from_components,-22.41,-24.26058118,1.850581179999999,1.850581179999999,0.002530442713072992,0.0,0.002530442713072992,,,,,,-2.25,0.0,,
2016,AZ-7,calculated_from_components,47.99,50.48705694,-2.4970569400000002,2.4970569400000002,0.9999999990301724,1.0,-9.698275516001331e-10,,,,,,2.25,0.0,,
2016,AZ-8,calculated_from_components,-26.51,-68.54912349,42.039123489999994,42.039123489999994,0.0004566166391277106,0.0,0.0004566166391277106,,,,,,-2.25,0.0,,
2016,AZ-9,calculated_from_components,7.29,21.87512387,-14.58512387,14.58512387,0.8190794262519091,1.0,-0.1809205737480909,,,,,,2.25,0.0,,
2016,CA-1,calculated_from_components,-18.01,-18.10620438,0.09620437999999965,0.09620437999999965,0.01213704866757908,0.0,0.01213704866757908,,,,,,-2.25,0.0,,
2016,CA-10,calculated_from_components,1.8900000000000006,-3.400914817,5.290914817000001,5.290914817000001,0.593442256166019,0.0,0.593442256166019,,,,,,-2.25,0.0,,
2016,CA-11,calculated_from_components,40.39,44.10564403,-3.71564403,3.71564403,0.999999781559888,1.0,-2.1844011199867452e-07,,,,,,2.25,0.0,,
2016,CA-12,calculated_from_components,74.39,80.87326064,-6.4832606399999975,6.4832606399999975,1.0,1.0,0.0,,,,,,2.25,0.0,,
2016,CA-13,calculated_from_components,81.29,81.56910964,-0.2791096399999873,0.2791096399999873,1.0,1.0,0.0,,,,,,2.25,0.0,,
2016,CA-14,calculated_from_components,53.39,61.72625302,-8.336253020000001,8.336253020000001,0.9999999999879081,1.0,-1.209188305040243e-11,,,,,,2.25,0.0,,
2016,CA-15,calculated_from_components,40.99,47.53359064,-6.543590639999998,6.543590639999998,0.9999998529533831,1.0,-1.4704661688291765e-07,,,,,,2.25,0.0,,
2016,CA-16,calculated_from_components,21.99,16.06968492,5.920315079999998,5.920315079999998,0.997025664207586,1.0,-0.002974335792414018,,,,,,2.25,0.0,,
2016,CA-17,calculated_from_components,46.94,61.00895399,-14.068953990000004,14.068953990000004,1.0,1.0,0.0,D,,,,,0.0,0.0,,
