model,check,count,total,share,severity,notes
House,dem_candidate,217.0,435,0.4989,Medium,
House,gop_candidate,229.0,435,0.5264,Medium,
House,median_income_tier,435.0,435,1.0,High,
House,college_share_tier,13.0,435,0.0299,Low,
House,white_share_tier,13.0,435,0.0299,Low,
House,black_share_tier,14.0,435,0.0322,Low,
House,hispanic_share_tier,14.0,435,0.0322,Low,
House,education_race_error_group,0.0,435,0.0,OK,
House,general_election_party_structure,232.0,435,0.5333,Medium,
House,party_control_override,435.0,435,1.0,High,
House,districts_with_no_polling,430.0,435,0.9885,Expected early-cycle,Sparse polling is expected this far out but important for competitive races.
House,mostly_fundamentals_only,210.0,435,0.4828,High,
House,high_priority_local_context_review,6.0,435,0.0138,Medium,Review these first.
House,candidate_war_not_both_matched,409.0,435,0.9402,Medium,"Not all districts need WAR, but competitive one-sided/large adjustments should be reviewed."
Senate,dem_candidate,0.0,35,0.0,OK,
Senate,gop_candidate,0.0,35,0.0,OK,
Senate,incumbent_party,,35,,Missing column,incumbent_party not found
Senate,race_type,,35,,Missing column,race_type not found
Senate,state,0.0,35,0.0,OK,
Senate,fundamentals_margin_dem,0.0,35,0.0,OK,
Senate,polling_margin_dem,0.0,35,0.0,OK,
Senate,special_adjustment_dem,0.0,35,0.0,OK,
Senate,candidate_quality_adjustment_dem,0.0,35,0.0,OK,
Senate,overperformance_adjustment_dem,0.0,35,0.0,OK,
Senate,candidate_liability_adjustment_dem,0.0,35,0.0,OK,
Senate,races_with_no_polling,27.0,35,0.7714,Medium,Senate polling scarcity matters most for competitive states.
Senate,nonzero_special_adjustment_dem,0.0,35,0.0,Review,Nonzero qualitative adjustments should have written rationale.
Senate,nonzero_candidate_quality_adjustment_dem,8.0,35,0.2286,Review,Nonzero qualitative adjustments should have written rationale.
Senate,nonzero_overperformance_adjustment_dem,6.0,35,0.1714,Review,Nonzero qualitative adjustments should have written rationale.
Senate,nonzero_candidate_liability_adjustment_dem,2.0,35,0.0571,Review,Nonzero qualitative adjustments should have written rationale.
