model,race_id,rating,model_margin_dem,dem_win_probability,adjustment_column,adjustment_value_dem,risk_level,recommended_range,review_note,dem_candidate,gop_candidate,review_decision,review_rationale,recommended_change,evidence_status,double_counting_risk
Senate,OH,,-2.5125509999999993,,overperformance_adjustment_dem,1.25,Low,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale. ,Sherrod Brown,Jon Husted,,,,Needs historical overperformance rationale,Medium
Senate,OH,,-2.5125509999999993,,candidate_quality_adjustment_dem,1.25,Low,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Sherrod Brown,Jon Husted,,,,Needs candidate-quality rationale,Medium
Senate,TX,,-2.8976221371834847,,candidate_liability_adjustment_dem,1.0,Low,-3 to +3 usually,Large liabilities should be rare and documented.,James Talarico,Ken Paxton,,,,Needs written rationale,Medium
Senate,TX,,-2.8976221371834847,,overperformance_adjustment_dem,0.5,Low,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,James Talarico,Ken Paxton,,,,Needs historical overperformance rationale,Medium
Senate,TX,,-2.8976221371834847,,candidate_quality_adjustment_dem,0.5,Low,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,James Talarico,Ken Paxton,,,,Needs candidate-quality rationale,Medium
Senate,ME,,3.031794990958212,,candidate_quality_adjustment_dem,-4.0,High,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Graham Platner,Susan Collins,Keep,High negatives for Platner w/scandal,,Needs candidate-quality rationale,"High, but intentional"
Senate,ME,,3.031794990958212,,overperformance_adjustment_dem,-2.0,Medium,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Graham Platner,Susan Collins,,,,Needs historical overperformance rationale,High
Senate,ME,,3.031794990958212,,candidate_liability_adjustment_dem,-1.0,Low,-3 to +3 usually,Large liabilities should be rare and documented.,Graham Platner,Susan Collins,,,,Needs written rationale,High
Senate,GA,,6.522015057957779,,candidate_quality_adjustment_dem,0.75,Low,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Jon Ossoff,Mike Collins / Derek Dooley runoff,,,,Needs candidate-quality rationale,
Senate,AK,,-6.814120666666667,,overperformance_adjustment_dem,2.0,Medium,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Mary Peltola,Dan Sullivan,,,,Needs historical overperformance rationale,Medium
Senate,NC,,7.674378,,candidate_quality_adjustment_dem,2.875,Medium,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Roy Cooper,Michael Whatley,,,,Needs candidate-quality rationale,Medium
Senate,NC,,7.674378,,overperformance_adjustment_dem,1.375,Low,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Roy Cooper,Michael Whatley,,,,Needs historical overperformance rationale,Medium
Senate,MS,,-19.819,,candidate_quality_adjustment_dem,-1.5,Low,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Scott Colom,Cindy Hyde-Smith,,,,Needs candidate-quality rationale,
Senate,AR,,-32.23166666666667,,candidate_quality_adjustment_dem,-3.0,Medium,-3 to +3 usually,Candidate quality should be reviewed race-by-race.,Hallie Schoffner,Tom Cotton,,,,Needs candidate-quality rationale,
Senate,AR,,-32.23166666666667,,overperformance_adjustment_dem,-1.5,Low,-4 to +4 after shrinkage,Strong candidate/race priors should have written rationale.,Hallie Schoffner,Tom Cotton,,,,Needs historical overperformance rationale,
House,NC-9,Likely R,,,candidate_quality_adjustment_dem,3.0,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Ojeda, Richard","Hudson, Richard",,,,Needs candidate-quality rationale,Low/Medium
House,PA-12,Safe D,,,candidate_quality_adjustment_dem,-2.588181818181818,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Lee, Summer","Hayes, James",,,,Needs candidate-quality rationale,Low/Medium
House,PA-10,Lean D,,,candidate_quality_adjustment_dem,2.3427,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Stelson, Janelle","Perry, Scott",,,,Needs candidate-quality rationale,Low/Medium
House,OH-9,Toss-Up,,,candidate_quality_adjustment_dem,1.87515,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Kaptur, Marcy","Merrin, Derek",,,,Needs candidate-quality rationale,Low/Medium
House,OR-4,Safe D,,,candidate_quality_adjustment_dem,-1.8470454545454549,Medium,"-3 to +3, usually smaller",Candidate quality should be shrunk/capped and reviewed in competitive races.,"Hoyle, Val","DeSpain, Monique",,,,Needs candidate-quality rationale,Low/Medium
