generic_ballot_coefficient,cycle,observation_count,scored_races,mean_margin_error_dem_bias,mean_absolute_error,median_absolute_error,rmse,winner_accuracy,brier_score,log_loss,actual_dem_wins,predicted_dem_wins,expected_dem_wins,predicted_win_count_error,expected_win_count_error,absolute_dem_bias,absolute_expected_win_count_error,mean_absolute_error_rank,rmse_rank,brier_score_rank,log_loss_rank,winner_accuracy_rank,absolute_dem_bias_rank,absolute_expected_win_count_error_rank,mae_degradation_from_best,rmse_degradation_from_best,brier_degradation_from_best,on_mae_plateau,on_rmse_plateau,on_brier_plateau,on_joint_performance_plateau,primary_performance_score
0.65,,1545,1545,0.08092395624311376,5.96764955097066,4.487391109999999,8.03914765754658,0.9411003236245955,0.046143440658794985,0.16291322964458335,756,733,742.1446005727507,-23,-13.855399427249267,0.08092395624311376,13.855399427249267,1,1,8,7,8,1,8,0.0,0.0,0.0006133615618216445,True,True,False,False,3.3333333333333335
0.7,,1545,1545,0.25450000802304856,5.972227880767424,4.515794800000002,8.040796244876834,0.941747572815534,0.04592834410953064,0.16260382772710275,756,734,745.0920787074747,-22,-10.907921292525316,0.25450000802304856,10.907921292525316,3,2,7,5,6,3,7,0.004578329796763647,0.0016485873302531928,0.0003982650125572973,True,True,True,True,4.0
0.6,,1545,1545,-0.09265209553682156,5.969798660764835,4.44908204,8.045640658311543,0.9411003236245955,0.04640283185953741,0.16333231535208692,756,731,739.2162637060824,-25,-16.783736293917627,0.09265209553682156,16.783736293917627,2,3,9,9,8,2,9,0.0021491097941748194,0.006493000764962176,0.0008727527625640719,True,True,False,False,4.666666666666667
0.75,,1545,1545,0.4280760598029847,5.98500703677519,4.568707985,8.050581418633186,0.941747572815534,0.04575852165535888,0.162404784314584,756,734,748.0587759295872,-22,-7.941224070412773,0.4280760598029847,7.941224070412773,5,4,6,3,6,5,6,0.017357485804530448,0.011433761086605543,0.0002284425583855415,True,True,True,True,5.0
0.8,,1545,1545,0.6016521115829191,6.007320230578427,4.526664099999998,8.068473575533746,0.9436893203883495,0.04563492680654513,0.16231677622457816,756,737,751.0447366258766,-19,-4.955263374123433,0.6016521115829191,4.955263374123433,7,6,5,1,5,7,4,0.0396706796077666,0.02932591798716544,0.0001048477095717884,True,True,True,True,6.0
0.55,,1545,1545,-0.26622814731675637,5.981880957933507,4.454476669999998,8.060255571639322,0.9411003236245955,0.04670551637646112,0.16386041338070165,756,729,736.3069589913056,-27,-19.693041008694422,0.26622814731675637,19.693041008694422,4,5,10,10,8,4,10,0.014231406962847082,0.02110791409274171,0.0011754372794877815,True,True,False,False,6.333333333333333
0.85,,1545,1545,0.7752281633628546,6.037760903717585,4.55171359,8.094418955969509,0.945631067961165,0.0455584829596595,0.1623404811592431,756,742,754.0499696657646,-14,-1.9500303342354073,0.7752281633628546,1.9500303342354073,8,8,3,2,4,8,2,0.07011135274692482,0.05527129842292844,2.840386268616185e-05,True,True,True,True,6.333333333333333
0.9,,1545,1545,0.9488042151427901,6.0786397290146725,4.6599236300000015,8.128340443476674,0.9475728155339805,0.04553007909697334,0.1624765764149738,756,745,757.0744463911736,-11,1.0744463911736375,0.9488042151427901,1.0744463911736375,9,9,1,4,3,9,1,0.11099017804401257,0.08919278593009317,0.0,False,True,True,False,6.333333333333333
0.95,,1545,1545,1.1223802669227254,6.128014543952499,4.800841169999998,8.170138690988448,0.948220064724919,0.0455505653880305,0.16272573752276026,756,748,760.1180987060161,-8,4.118098706016099,1.1223802669227254,4.118098706016099,10,10,2,6,2,10,3,0.16036499298183937,0.1309910334418678,2.0486291057157657e-05,False,False,True,False,7.333333333333333
0.5,,1545,1545,-0.43980419909669255,6.003901753374285,4.491804600000002,8.082948341554431,0.9398058252427185,0.04705047487102825,0.16449685657495836,756,723,733.4165481797572,-33,-22.58345182024277,0.43980419909669255,22.58345182024277,6,7,11,11,11,6,11,0.0362522024036247,0.04380068400785042,0.0015203957740549112,True,True,False,False,8.0
1.0,,1545,1545,1.2959563187026604,6.184765390049586,4.862858181,8.219693536230055,0.9488673139158577,0.045620748719869465,0.163088636823261,756,751,763.1808172909472,-5,7.180817290947175,1.2959563187026604,7.180817290947175,11,11,4,8,1,11,5,0.21711583907892607,0.18054587868347483,9.066962289612512e-05,False,False,True,False,8.666666666666666
