repository,path,size_bytes,name_match,schema_match,columns
house_model_python,historical/house/polling/raw/fivethirtyeight_archive/generic_ballot_polls_historical.csv,1773180,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, dem, rep, ind"
house_model_python,historical/house/polling/raw/fivethirtyeight_archive/house_polls_historical.csv,1905130,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, endorsed_candidate_id, endorsed_candidate_name, endorsed_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, ranked_choice_reallocated, ranked_choice_round, hypothetical, party, answer, candidate_id, candidate_name, pct"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/fivethirtyeight/archives/generic_ballot_polls_historical.csv,1773180,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, dem, rep, ind"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/fivethirtyeight/archives/house_polls_historical.csv,1906643,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, endorsed_candidate_id, endorsed_candidate_name, endorsed_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, ranked_choice_reallocated, ranked_choice_round, hypothetical, party, answer, candidate_id, candidate_name, pct"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/fivethirtyeight/archives/senate_polls_historical.csv,4535475,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, endorsed_candidate_id, endorsed_candidate_name, endorsed_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, ranked_choice_reallocated, ranked_choice_round, hypothetical, party, answer, candidate_id, candidate_name, pct"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/source_downloads/fivethirtyeight/senate_polls_simonw_mirror.csv,1659414,True,True,"question_id, poll_id, cycle, state, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, fte_grade, sample_size, population, population_full, methodology, office_type, seat_number, seat_name, start_date, end_date, election_date, sponsor_candidate, internal, partisan, tracking, nationwide_batch, ranked_choice_reallocated, created_at, notes, url, stage, race_id, answer, candidate_id, candidate_name, candidate_party, pct"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/source_downloads/wayback/best_snapshots/generic_ballot_polls_historical_best.csv,1773180,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, dem, rep, ind"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/source_downloads/wayback/best_snapshots/house_polls_historical_best.csv,1906643,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, endorsed_candidate_id, endorsed_candidate_name, endorsed_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, ranked_choice_reallocated, ranked_choice_round, hypothetical, party, answer, candidate_id, candidate_name, pct"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/raw/polling/source_downloads/wayback/best_snapshots/senate_polls_historical_best.csv,4535475,True,True,"poll_id, pollster_id, pollster, sponsor_ids, sponsors, display_name, pollster_rating_id, pollster_rating_name, numeric_grade, pollscore, methodology, transparency_score, state, start_date, end_date, sponsor_candidate_id, sponsor_candidate, sponsor_candidate_party, endorsed_candidate_id, endorsed_candidate_name, endorsed_candidate_party, question_id, sample_size, population, subpopulation, population_full, tracking, created_at, notes, url, url_article, url_topline, url_crosstab, source, internal, partisan, race_id, cycle, office_type, seat_number, seat_name, election_date, stage, nationwide_batch, ranked_choice_reallocated, ranked_choice_round, hypothetical, party, answer, candidate_id, candidate_name, pct"
house_model_python,inputs/house_manual_polls.csv,3383,False,True,"district_id, district, race, state, pollster, pollster_grade, sponsor, poll_sponsor_type, partisan_sponsor_party, is_internal_poll, pollster_partisan_affiliation, partisan_pollster_review_notes, start_date, end_date, sample_size, population, sample_type, mode, dem_candidate, gop_candidate, rep_candidate, dem_pct, gop_pct, rep_pct, ind_pct, other_pct, undecided_pct, notes, ind_candidate, other_candidate"
senate_model_python_Q1_auto_calendar_candidate_refresh,historical/senate/warehouse/processed/polling_aggregates/senate_historical_baseline_weighted_questions.csv,8558757,False,True,"snapshot_id, race_key, question_id, poll_id, race_id, cycle, state, stage, start_date, end_date, election_date, candidate_rows, unique_candidates, democratic_rows, republican_rows, major_party_rows, dem_candidate_id, rep_candidate_id, dem_candidate_name, rep_candidate_name, dem_pct, rep_pct, major_party_pct_sum, dem_margin, question_pct_sum, has_one_democrat, has_one_republican, has_both_major_parties, has_valid_major_party_pct, is_general_stage, is_hypothetical, is_ranked_choice, is_internal, is_partisan, is_tracking, metadata_consistent, pollster, pollster_id, pollster_rating_id, display_name, pollster_name, sponsors, poll_url, poll_source, population, population_full, sample_size, methodology, numeric_grade, pollscore, transparency_score, notes, excluded_after_snapshot, excluded_after_election, excluded_non_general_stage, excluded_hypothetical, excluded_ranked_choice, excluded_missing_major_party_matchup, excluded_multiple_democrats, excluded_multiple_republicans, excluded_invalid_major_party_pct, excluded_inconsistent_metadata, is_eligible, exclusion_reasons, snapshot_date, days_old, days_before_election_at_snapshot, days_before_election, snapshot_election_date, aggregation_sample_size_raw, aggregation_dem_margin, aggregation_days_old, recency_weight, sample_size_weight, aggregation_sample_size, sample_size_imputed, raw_poll_weight, included_in_aggregate, normalized_poll_weight"
