district_id,state,district,district_partisan_baseline_dem,district_environment_adjustment_dem,state_environment_adjustment_dem,incumbency_adjustment_dem,candidate_quality_adjustment_dem,special_adjustment_dem,audit_fundamentals_component_sum_dem,fundamentals_margin_dem,fundamentals_component_residual_dem,polling_active_bool,polling_margin_dem,poll_count,effective_poll_count,audit_polling_weight,audit_fundamentals_weight,weight_sum,audit_bayesian_margin_dem,stored_model_margin_dem,bayesian_margin_residual_dem,polling_raw_gap_dem,polling_weighted_margin_shift_dem,production_dem_win_probability,analytic_fundamentals_probability,analytic_post_poll_probability,analytic_polling_seat_effect,district_posterior_sd
CO-3,CO,3,-9.555999999999996,4.32,0.0,0.0,0.354375,0.0,-4.881624999999995,-4.879763496887667,0.0018615031123285775,False,,0,0.0,0.0,1.0,1.0,-4.879763496887667,-4.879763496887667,0.0,,0.0,0.34885,0.30718902665228714,0.30718902665228714,0.0,6.75
FL-7,FL,7,-10.636,5.13,0.0,0.0,0.0,0.0,-5.505999999999999,-5.505071253323625,0.0009287466763741037,True,1.0,2,2.0,0.1093749999999999,0.890625,0.9999999999999999,-4.793579084991354,-4.793579084991354,0.0,6.505071253323625,0.7114921683322715,0.33445,0.2854651379447775,0.3102544813958126,0.024789343451035062,6.5654296875
ME-2,ME,2,-8.786,4.050000000000001,0.0,0.0,0.0,0.0,-4.735999999999999,-4.729614585702636,0.006385414297362502,False,,0,0.0,0.0,1.0,1.0,-4.729614585702636,-4.729614585702636,0.0,,0.0,0.3523,0.312540448502269,0.312540448502269,0.0,6.75
NC-1,NC,1,-10.496,4.32,0.0,1.5,0.8110227272727273,0.0,-3.864977272727273,-3.873623678214451,-0.00864640548717821,False,,0,0.0,0.0,1.0,1.0,-3.873623678214451,-3.873623678214451,0.0,,0.0,0.37665,0.3439808606065843,0.3439808606065843,0.0,6.75
OH-10,OH,10,-7.436000000000001,6.21,0.0,-1.5,-0.627075,0.0,-3.353075000000001,-3.3577826708685974,-0.00470767086859647,False,,0,0.0,0.0,1.0,1.0,-3.3577826708685974,-3.3577826708685974,0.0,,0.0,0.39835,0.3636329718922203,0.3636329718922203,0.0,6.75
IA-2,IA,2,-8.626000000000001,5.4,0.0,0.0,0.0,0.0,-3.226000000000001,-3.217778516822121,0.00822148317787974,False,,0,0.0,0.0,1.0,1.0,-3.217778516822121,-3.217778516822121,0.0,,0.0,0.39785,0.36904954929450606,0.36904954929450606,0.0,6.75
PA-8,PA,8,-7.1259999999999994,4.859999999999999,0.0,-1.5,0.163125,0.0,-3.602875,-3.596420579372588,0.006454420627412194,True,2.0,1,1.0,0.0735,0.9265,1.0,-3.185083666788703,-3.185083666788703,0.0,5.596420579372587,0.41133691258388483,0.3942,0.35448019146926696,0.37031929562713894,0.015839104157871986,6.62596875
IA-1,IA,1,-7.1259999999999994,5.4,0.0,-1.5,0.3790178571428571,0.0,-2.846982142857142,-2.8388345108318016,0.00814763202534019,False,,0,0.0,0.0,1.0,1.0,-2.8388345108318016,-2.8388345108318016,0.0,,0.0,0.4107,0.3838735338744496,0.3838735338744496,0.0,6.75
TX-35,TX,35,-8.156,5.4,0.0,0.0,0.0,0.0,-2.7560000000000002,-2.7550042136997615,0.0009957863002387768,False,,0,0.0,0.0,1.0,1.0,-2.7550042136997615,-2.7550042136997615,0.0,,0.0,0.41125,0.38718336566663564,0.38718336566663564,0.0,6.75
FL-14,FL,14,-8.496,5.13,0.0,0.0,0.0,0.0,-3.3660000000000005,-3.365013404615937,0.0009865953840635378,True,8.0,1,1.0,0.0735,0.9265,1.0,-2.5296849193766655,-2.5296849193766655,0.0,11.365013404615937,0.8353284852392715,0.4137,0.36335414758843293,0.3961305620364493,0.03277641444801638,6.62596875
NY-1,NY,1,-7.916,5.4,0.0,0.0,0.0830113636363636,0.0,-2.4329886363636364,-2.444357803176611,-0.01136916681297473,False,,0,0.0,0.0,1.0,1.0,-2.444357803176611,-2.444357803176611,0.0,,0.0,0.42845,0.39953740314432573,0.39953740314432573,0.0,6.75
FL-22,FL,22,-6.995999999999999,5.13,0.0,0.0,0.0,0.0,-1.8659999999999988,-1.8649728564563393,0.0010271435436595144,False,,0,0.0,0.0,1.0,1.0,-1.8649728564563393,-1.8649728564563393,0.0,,0.0,0.44265,0.42291244879477735,0.42291244879477735,0.0,6.75
OH-9,OH,9,-9.666,5.4,0.0,1.5,1.87515,0.0,-0.8908499999999999,-0.8825773133563595,0.008272686643640448,False,,0,0.0,0.0,1.0,1.0,-0.8825773133563595,-0.8825773133563595,0.0,,0.0,0.47385,0.4632921097157449,0.4632921097157449,0.0,6.75
TX-34,TX,34,-6.506,4.32,0.0,1.5,0.0660076530612244,0.0,-0.6199923469387756,-0.6183634557611204,0.0016288911776551895,False,,0,0.0,0.0,1.0,1.0,-0.6183634557611204,-0.6183634557611204,0.0,,0.0,0.4867,0.47425763714842095,0.47425763714842095,0.0,6.75
WI-3,WI,3,-6.895999999999999,5.4,0.0,0.0,0.0,0.0,-1.4959999999999987,-1.4941021677738358,0.00189783222616291,True,4.0,2,1.9361850923672057,0.1869161955821305,0.8130838044178695,1.0,-0.4671654924340144,-0.4671654924340144,0.0,5.4941021677738355,1.0269366753398215,0.48225,0.4380654568034866,0.48054459889805895,0.042479142094572375,6.434578919955155
VA-1,VA,1,-5.745999999999997,5.4,0.0,0.0,0.0,0.0,-0.34599999999999653,-0.3580332608098528,-0.012033260809856283,False,,0,0.0,0.0,1.0,1.0,-0.3580332608098528,-0.3580332608098528,0.0,,0.0,0.48705,0.48508637254006454,0.48508637254006454,0.0,6.75
FL-25,FL,25,-5.216000000000003,5.13,0.0,0.0,0.0,0.0,-0.08600000000000296,-0.0851830132452476,0.0008169867547553611,False,,0,0.0,0.0,1.0,1.0,-0.0851830132452476,-0.0851830132452476,0.0,,0.0,0.49925,0.49645076739640764,0.49645076739640764,0.0,6.75
MI-4,MI,4,-5.496,5.4,0.0,0.0,0.0,0.0,-0.09600000000000009,-0.0914824000357302,0.004517599964269883,True,3.0,1,1.0,0.0735,0.9265,1.0,0.13574155636689594,0.1357415563668959,-5.551115123125783e-17,3.0914824000357304,0.2272239564026261,0.50805,0.49618830717454404,0.5056556569575418,0.009467349782997736,6.62596875
MI-10,MI,10,-5.156,5.4,0.0,0.0,0.0,0.0,0.24400000000000066,0.2456866856059792,0.0016866856059785384,False,,0,0.0,0.0,1.0,1.0,0.2456866856059792,0.2456866856059792,0.0,,0.0,0.5045,0.5102355150984901,0.5102355150984901,0.0,6.75
PA-10,PA,10,-5.175999999999998,5.13,0.0,-1.5,2.3427,0.0,0.7967000000000013,0.7853082052236756,-0.011391794776325681,False,,0,0.0,0.0,1.0,1.0,0.7853082052236756,0.7853082052236756,0.0,,0.0,0.52375,0.5326745434275783,0.5326745434275783,0.0,6.75
IA-3,IA,3,-3.506000000000002,5.940000000000001,0.0,-1.5,0.1989204545454545,0.0,1.1329204545454539,1.140539135380496,0.007618680835042024,False,,0,0.0,0.0,1.0,1.0,1.140539135380496,1.140539135380496,0.0,,0.0,0.538,0.5473798804987543,0.5473798804987543,0.0,6.75
WA-3,WA,3,-3.876,5.940000000000001,0.0,0.0,0.0,0.0,2.0640000000000014,2.06937271072016,0.005372710720158658,True,-1.0,2,2.0,0.1399999999999999,0.86,0.9999999999999999,1.6396605312193377,1.6396605312193375,-2.220446049250313e-16,-3.06937271072016,-0.4297121795008225,0.5608,0.5853791944180331,0.5678971660566455,-0.01748202836138757,6.51375
TX-28,TX,28,-4.636000000000002,4.86,0.0,1.5,0.5626278409090909,0.0,2.286627840909089,2.2850245717703905,-0.001603269138698682,False,,0,0.0,0.0,1.0,1.0,2.2850245717703905,2.2850245717703905,0.0,,0.0,0.58095,0.5940750646482154,0.5940750646482154,0.0,6.75
PA-7,PA,7,-2.3659999999999997,6.480000000000001,0.0,-1.5,-0.005625,0.0,2.6083750000000014,2.5907168324331473,-0.01765816756685412,False,,0,0.0,0.0,1.0,1.0,2.5907168324331473,2.5907168324331473,0.0,,0.0,0.58205,0.6063001011160402,0.6063001011160402,0.0,6.75
WI-1,WI,1,-4.055999999999999,6.75,0.0,0.0,0.0,0.0,2.694000000000001,2.6992985159706264,0.0052985159706255835,False,,0,0.0,0.0,1.0,1.0,2.6992985159706264,2.6992985159706264,0.0,,0.0,0.59595,0.6106114362374796,0.6106114362374796,0.0,6.75
AZ-1,AZ,1,-2.026,6.480000000000001,0.0,0.0,0.0,0.0,4.4540000000000015,4.436237780839166,-0.017762219160835535,False,,0,0.0,0.0,1.0,1.0,4.436237780839166,4.436237780839166,0.0,,0.0,0.6428,0.6768587253997055,0.6768587253997055,0.0,6.75
AZ-6,AZ,6,-0.7660000000000017,5.670000000000001,0.0,0.0,0.0,0.0,4.903999999999999,4.904696693881287,0.000696693881288013,True,2.0,1,1.0,0.0735,0.9265,1.0,4.691201486881012,4.691201486881012,0.0,-2.904696693881287,-0.2134952070002747,0.6529,0.6936946608596593,0.6860823372051996,-0.0076123236544596296,6.62596875
NJ-7,NJ,7,-0.0659999999999993,6.480000000000001,0.0,-1.5,-0.1182621951219512,0.0,4.795737804878051,4.79573780487805,-8.881784197001252e-16,True,4.0,1,1.0,0.0735,0.9265,1.0,4.737251076219513,4.737251076219513,0.0,-0.7957378048780503,-0.058486728658537324,0.6593,0.6898225064806398,0.6877329475780223,-0.0020895589026175276,6.62596875
