cycle,rating,districts,avg_dem_probability,actual_dem_win_rate,winner_accuracy,mean_margin_error_dem_bias,mean_abs_margin_error,brier_score
2018,Lean D,7,0.7195612262299836,0.8571428571428571,0.8571428571428571,2.3999999999999995,3.3142857142857136,0.13258064916374357
2018,Likely D,1,0.8855584090070573,1.0,1.0,12.0,12.0,0.013096877748995987
2018,Tilt D,4,0.605442758507257,1.0,1.0,-2.750000000000001,3.45,0.1570511221768329
2018,Tilt R,4,0.3861343264723785,0.75,0.25,-3.525000000000001,3.6250000000000004,0.34719744869253844
2018,Toss-Up,5,0.5099953453780371,0.8,0.8,-2.6000000000000005,3.2,0.24018493760976423
2022,Lean D,6,0.7520349507467908,0.16666666666666666,0.16666666666666666,8.966666666666667,9.233333333333333,0.516025174492027
2022,Lean R,4,0.25794344329385377,0.5,0.5,-7.35,7.35,0.350370201007502
2022,Likely D,1,0.8791723055012429,1.0,1.0,4.399999999999999,4.399999999999999,0.014599331757884972
2022,Likely R,1,0.12581696999069827,0.0,1.0,-12.400000000000002,12.400000000000002,0.01582990993764027
2022,Tilt D,2,0.5947208145964358,0.5,0.5,2.95,2.95,0.23371525075162758
2022,Tilt R,2,0.39578217912263847,0.0,1.0,-1.2999999999999998,1.2999999999999998,0.15664691713677092
2022,Toss-Up,4,0.49902838890114626,0.5,0.5,0.45000000000000007,4.45,0.26119918768711275
