cycle,rating,districts,avg_dem_probability,actual_dem_win_rate,winner_accuracy,mean_margin_error_dem_bias,mean_abs_margin_error,brier_score,tested_environment_multiplier,tested_total_error_sd
2018,Lean D,3,0.7617019125556328,1.0,1.0,3.7166666666666655,6.083333333333332,0.0604711114533225,0.75,6.5
2018,Lean R,3,0.2954748455452609,1.0,0.0,-6.916666666666668,6.916666666666668,0.4964172097452885,0.75,6.5
2018,Tilt D,7,0.6044324004417756,0.8571428571428571,0.8571428571428571,-0.9214285714285724,3.1785714285714284,0.1880692932445494,0.75,6.5
2018,Tilt R,5,0.4161556905661738,0.8,0.2,-5.01,5.01,0.285582256846826,0.75,6.5
2018,Toss-Up,3,0.4910283392513738,0.6666666666666666,0.0,-3.7333333333333343,4.733333333333334,0.2591022440540351,0.75,6.5
2022,Lean D,6,0.7713177236114072,0.1666666666666666,0.1666666666666666,9.666666666666666,9.7,0.5371977785114511,0.75,6.5
2022,Lean R,3,0.2473351115039035,0.6666666666666666,0.3333333333333333,-8.933333333333332,8.933333333333332,0.4115941535843108,0.75,6.5
2022,Likely D,1,0.8901532760083799,1.0,1.0,5.1,5.1,0.0120663027716911,0.75,6.5
2022,Likely R,1,0.1381466613990349,0.0,1.0,-11.7,11.7,0.0190845000556996,0.75,6.5
2022,Tilt D,3,0.6018855139321072,0.3333333333333333,0.3333333333333333,4.3,4.3,0.266269622511335,0.75,6.5
2022,Tilt R,3,0.4052457366274052,0.0,1.0,-0.3333333333333328,0.4666666666666665,0.1647746791114099,0.75,6.5
2022,Toss-Up,3,0.5128073831776738,0.6666666666666666,0.6666666666666666,-0.3333333333333328,4.066666666666666,0.2426549249759424,0.75,6.5
2018,Lean D,3,0.7337375023545633,1.0,1.0,3.7166666666666655,6.083333333333332,0.0742459465522101,0.75,7.5
2018,Lean R,3,0.3201371730631549,1.0,0.0,-6.916666666666668,6.916666666666668,0.4622639784366469,0.75,7.5
2018,Tilt D,6,0.5980283001135929,0.8333333333333334,0.8333333333333334,-0.9500000000000008,3.5833333333333335,0.1932041942779688,0.75,7.5
2018,Tilt R,5,0.4270902484056784,0.8,0.2,-5.01,5.01,0.2798960394253018,0.75,7.5
2018,Toss-Up,4,0.5062138202792229,0.75,0.25,-2.9875000000000007,3.7375000000000007,0.2444401625575942,0.75,7.5
2022,Lean D,6,0.7421638108127039,0.1666666666666666,0.1666666666666666,9.666666666666666,9.7,0.5001829343918686,0.75,7.5
2022,Lean R,4,0.24871297986951,0.5,0.5,-9.625,9.625,0.2987197479597504,0.75,7.5
2022,Likely D,1,0.8597642553696124,1.0,1.0,5.1,5.1,0.0196660640720392,0.75,7.5
2022,Tilt D,3,0.5887144207416402,0.3333333333333333,0.3333333333333333,4.3,4.3,0.2626719787872144,0.75,7.5
2022,Tilt R,3,0.4175826369860864,0.0,1.0,-0.3333333333333328,0.4666666666666665,0.1747979520856502,0.75,7.5
2022,Toss-Up,3,0.5111025610278378,0.6666666666666666,0.6666666666666666,-0.3333333333333328,4.066666666666666,0.2435930213880349,0.75,7.5
2018,Lean D,3,0.7106610089293661,1.0,1.0,3.7166666666666655,6.083333333333332,0.086694024820273,0.75,8.5
2018,Lean R,3,0.3397131507134091,1.0,0.0,-6.916666666666668,6.916666666666668,0.4360204975872208,0.75,8.5
2018,Tilt D,6,0.5867683000500371,0.8333333333333334,0.8333333333333334,-0.9500000000000008,3.5833333333333335,0.198704906880696,0.75,8.5
2018,Tilt R,4,0.4307682129399042,0.75,0.25,-5.375,5.375,0.2702884425741743,0.75,8.5
2018,Toss-Up,5,0.4952993993985224,0.8,0.2,-3.1000000000000005,3.7000000000000006,0.2555217924055637,0.75,8.5
2022,Lean D,6,0.7500571142104905,0.1666666666666666,0.1666666666666666,10.533333333333331,10.533333333333331,0.4537269102907437,0.75,8.5
2022,Lean R,4,0.2727045518716379,0.5,0.5,-9.625,9.625,0.2878189381158032,0.75,8.5
2022,Tilt D,3,0.6086646111650804,0.6666666666666666,0.6666666666666666,2.4,2.4666666666666663,0.2025747205415504,0.75,8.5
