forecast_cycle,district_id,race_id,state,district,dem_candidate,gop_candidate,incumbent_party,dem_registry_status,gop_registry_status,dem_war_matched,gop_war_matched,dem_war_name,gop_war_name,dem_name_match_score,gop_name_match_score,dem_war_cycles,gop_war_cycles,dem_war_observations,gop_war_observations,dem_candidate_war,gop_candidate_war,dem_observation_reliability_multiplier,gop_observation_reliability_multiplier,dem_war_after_observation_shrinkage,gop_war_after_observation_shrinkage,dem_incumbent_multiplier,gop_incumbent_multiplier,dem_effective_war,gop_effective_war,candidate_war_net_dem,house_candidate_war_shrinkage,house_candidate_war_cap,house_candidate_war_incumbent_discount,house_candidate_war_one_sided_multiplier,house_candidate_war_observation_prior_strength,candidate_war_adjustment_dem_before_match_quality,candidate_war_match_quality_multiplier,candidate_war_adjustment_dem,war_match_status,maximum_war_cycle_used,future_war_used,target_actual_dem_margin,target_include_in_major_party_margin_scoring
2022,AK-AL,AK-AL,AK,AL,MARY SATTLER PELTOLA,SARAH PALIN,D,I,O,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,23.02150904745647,True
2022,AL-1,AL-1,AL,1,,JERRY L CARL,R,,I,False,True,,Jerry Carl,0.0,0.97,,2020,0,1,0.0,-1.4499999999999997,1.0,1.0,0.0,-1.4499999999999997,1.0,0.5,0.0,-0.7249999999999999,0.7249999999999999,0.45,3.0,0.5,0.5,0.0,0.32624999999999993,0.5,0.16312499999999996,Only R matched,2020.0,False,-83.61106155218555,False
2022,AL-2,AL-2,AL,2,PHYLLIS HARVEY-HALL,BARRY MOORE,R,C,I,True,True,Phyllis Harvey-Hall,Barry Moore,1.0,1.0,2020,2020,1,1,0.9,-0.9,1.0,1.0,0.9,-0.9,1.0,0.5,0.9,-0.45,1.35,0.45,3.0,0.5,0.5,0.0,0.6075,1.0,0.6075,Both matched,2020.0,False,-39.93043862867597,True
2022,AL-3,AL-3,AL,3,LIN VEASEY,MIKE ROGERS,R,C,I,False,True,,Mike Rogers,0.0,1.0,,"2020,2018,2016,2014",0,4,0.0,-1.6764705882352942,1.0,1.0,0.0,-1.6764705882352942,1.0,0.5,0.0,-0.8382352941176471,0.8382352941176471,0.45,3.0,0.5,0.5,0.0,0.37720588235294117,0.5,0.18860294117647058,Only R matched,2020.0,False,-46.0820562377236,True
2022,AL-4,AL-4,AL,4,RICK NEIGHBORS,ROBERT B ADERHOLT,R,C,I,True,True,Rick Neighbors,Robert Aderholt,1.0,0.97,2020,"2020,2018",1,2,1.85,-1.2346153846153847,1.0,1.0,1.85,-1.2346153846153847,1.0,0.5,1.85,-0.6173076923076923,2.4673076923076924,0.45,3.0,0.5,0.5,0.0,1.1102884615384616,1.0,1.1102884615384616,Both matched,2020.0,False,-70.48428215988106,True
2022,AL-5,AL-5,AL,5,KATHY WARNER-STANTON,DALE STRONG,,O,C,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,-37.53585440638291,True
2022,AL-6,AL-6,AL,6,,GARY J PALMER,R,,I,False,True,,Gary Palmer,0.0,0.97,,"2018,2016,2014",0,3,0.0,-3.8222222222222224,1.0,1.0,0.0,-3.8222222222222224,1.0,0.5,0.0,-1.9111111111111112,1.9111111111111112,0.45,3.0,0.5,0.5,0.0,0.8600000000000001,0.5,0.43000000000000005,Only R matched,2018.0,False,-83.72990667904432,False
2022,AL-7,AL-7,AL,7,TERRI A SEWELL,BEATRICE NICHOLS,D,I,C,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,28.780550685779108,True
2022,AR-1,AR-1,AR,1,MONTE HODGES,ERIC A âRICKâ CRAWFORD,R,C,I,False,False,,,0.0,0.0,,,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.45,3.0,0.5,0.5,0.0,0.0,0.0,0.0,Neither matched,,False,-47.59564624805636,True
2022,AR-2,AR-2,AR,2,QUINTESSA HATHAWAY,J FRENCH HILL,R,C,I,False,True,,French Hill,0.0,0.88,,"2020,2018,2016,2014",0,4,0.0,-0.7647058823529413,1.0,1.0,0.0,-0.7647058823529413,1.0,0.5,0.0,-0.3823529411764707,0.3823529411764707,0.45,3.0,0.5,0.5,0.0,0.17205882352941182,0.5,0.08602941176470591,Only R matched,2020.0,False,-24.787580240701818,True
2022,AR-3,AR-3,AR,3,LAUREN MALLETT-HAYS,STEVE WOMACK,R,C,I,False,True,,Steve Womack,0.0,1.0,,"2020,2018",0,2,0.0,0.5153846153846154,1.0,1.0,0.0,0.5153846153846154,1.0,0.5,0.0,0.2576923076923077,-0.2576923076923077,0.45,3.0,0.5,0.5,0.0,-0.11596153846153848,0.5,-0.05798076923076924,Only R matched,2020.0,False,-30.797717229905004,True
2022,AR-4,AR-4,AR,4,JOHN WHITE,BRUCE WESTERMAN,R,C,I,False,True,,Bruce Westerman,0.0,1.0,,"2020,2018,2014",0,3,0.0,0.7000000000000001,1.0,1.0,0.0,0.7000000000000001,1.0,0.5,0.0,0.35000000000000003,-0.35000000000000003,0.45,3.0,0.5,0.5,0.0,-0.15750000000000003,0.5,-0.07875000000000001,Only R matched,2020.0,False,-44.81162550300883,True
2022,AZ-1,AZ-1,AZ,1,JEVIN HODGE,DAVID SCHWEIKERT,R,C,I,False,True,,David Schweikert,0.0,1.0,,"2020,2018,2016,2014",0,4,0.0,-1.0794117647058823,1.0,1.0,0.0,-1.0794117647058823,1.0,0.5,0.0,-0.5397058823529411,0.5397058823529411,0.45,3.0,0.5,0.5,0.0,0.24286764705882352,0.5,0.12143382352941176,Only R matched,2020.0,False,-0.8838736627779914,True
2022,AZ-2,AZ-2,AZ,2,TOM OâHALLERAN,ELI CRANE,,NAN,C,True,False,Tom O'Halleran,,0.97,0.0,"2020,2018,2016",,3,0,2.440625,0.0,1.0,1.0,2.440625,0.0,1.0,1.0,2.440625,0.0,2.440625,0.45,3.0,0.5,0.5,0.0,1.0982812499999999,0.5,0.5491406249999999,Only D matched,2020.0,False,-7.736026419621764,True
