race_id,fold
AK-AL,5
AL-2,1
AL-3,7
AL-4,8
AL-5,0
AL-7,2
AR-1,9
AR-2,0
AR-3,0
AR-4,9
AZ-1,4
AZ-2,7
AZ-3,3
AZ-4,9
AZ-5,0
AZ-6,1
AZ-7,2
CA-1,4
CA-2,3
CA-3,7
CA-4,8
CA-5,9
CA-6,8
CA-7,5
CA-8,5
CA-9,4
CA-11,8
CA-12,8
CA-13,6
CA-14,1
CA-17,5
CA-18,6
CA-19,3
CA-20,7
CA-21,7
CA-22,7
CA-23,7
CA-24,7
CA-25,6
CA-26,0
CA-27,2
CA-28,6
CA-31,1
CA-32,4
CA-33,3
CA-35,6
CA-36,0
CA-38,8
CA-39,5
CA-40,8
CA-41,8
CA-42,1
CA-43,1
CA-44,8
CA-45,0
CA-46,4
CA-47,4
CA-48,3
CA-49,5
CA-50,3
CA-51,6
CA-52,3
CO-1,4
CO-2,1
CO-3,3
CO-4,4
CO-5,1
CO-6,2
CO-7,5
CO-8,8
CT-1,5
CT-2,7
CT-3,8
CT-4,2
CT-5,7
DE-AL,2
FL-1,2
FL-2,9
FL-3,6
FL-4,5
FL-7,4
FL-8,7
FL-9,4
FL-10,9
FL-11,7
FL-12,8
FL-13,1
FL-14,2
FL-15,1
FL-16,0
FL-17,9
FL-19,4
FL-20,4
FL-21,7
FL-22,5
FL-23,2
FL-24,0
FL-25,8
FL-26,5
FL-27,2
FL-28,3
GA-1,3
GA-2,9
GA-3,7
GA-4,9
GA-5,9
GA-6,8
GA-7,6
GA-8,0
GA-9,4
GA-10,6
GA-11,8
GA-12,1
GA-13,3
GA-14,5
HI-1,8
HI-2,8
IA-1,3
IA-2,0
IA-3,2
IA-4,3
ID-1,2
ID-2,1
IL-1,9
IL-2,4
IL-3,2
IL-4,5
IL-5,7
IL-6,3
IL-8,1
IL-9,3
IL-10,5
IL-11,4
IL-12,6
IL-13,7
IL-14,0
IL-15,6
IL-16,1
IL-17,3
IN-1,0
IN-2,1
IN-3,0
IN-4,5
IN-5,7
IN-6,9
IN-7,6
IN-8,7
IN-9,4
KS-1,8
KS-2,0
KS-3,2
KS-4,3
KY-1,0
KY-2,6
KY-3,9
KY-4,0
KY-5,8
KY-6,1
LA-1,9
LA-2,4
LA-3,8
LA-5,0
MA-1,2
MA-2,9
MA-3,0
MA-5,0
MA-6,6
MA-7,3
MA-8,8
MA-9,7
MD-1,0
MD-2,0
MD-3,6
MD-4,9
MD-5,3
MD-6,3
MD-7,0
MD-8,8
ME-1,4
ME-2,3
MI-1,1
MI-2,9
MI-3,2
MI-4,8
MI-5,9
MI-6,4
MI-7,6
MI-8,7
MI-9,6
MI-10,1
MI-11,9
MI-12,6
MI-13,2
MN-1,3
MN-2,4
MN-3,7
MN-4,0
MN-5,9
MN-6,6
MN-7,1
MN-8,0
MO-1,3
MO-2,9
MO-3,3
MO-4,2
MO-5,6
MO-6,0
MO-7,5
MO-8,9
MS-1,4
MS-2,3
MS-3,0
MS-4,2
MT-1,6
MT-2,2
NC-1,4
NC-2,5
NC-3,1
NC-4,7
NC-5,2
NC-6,8
NC-7,6
NC-8,8
NC-9,9
NC-10,4
NC-11,9
NC-12,5
NC-13,0
NC-14,6
NE-1,7
NE-2,7
NE-3,3
NH-1,7
NH-2,6
NJ-1,1
NJ-2,2
NJ-3,1
NJ-4,7
NJ-5,1
NJ-6,1
NJ-7,8
NJ-8,2
NJ-9,0
NJ-10,4
NJ-11,4
NJ-12,1
NM-1,5
NM-2,9
NM-3,1
NV-1,1
NV-2,2
NV-3,6
NV-4,5
NY-1,4
NY-2,8
NY-3,9
NY-4,9
NY-5,1
NY-6,5
NY-7,7
NY-8,5
NY-10,7
NY-11,4
NY-12,7
NY-14,3
NY-15,6
NY-16,2
NY-17,3
NY-18,7
NY-19,6
NY-20,0
NY-21,1
NY-22,9
NY-23,5
NY-24,5
NY-25,3
NY-26,7
OH-1,7
OH-2,2
OH-3,4
OH-4,0
OH-5,6
OH-6,6
OH-7,4
OH-8,0
OH-9,7
OH-10,3
OH-11,5
OH-12,8
OH-13,4
OH-14,5
OH-15,3
OK-1,6
OK-2,6
OK-3,5
OK-4,2
OK-5,1
OR-1,2
OR-2,4
OR-3,5
OR-4,1
OR-5,3
OR-6,6
PA-1,4
PA-2,2
PA-4,7
PA-5,7
PA-6,0
PA-7,3
PA-8,3
PA-9,8
PA-10,4
PA-11,6
PA-12,2
PA-15,4
PA-16,8
PA-17,6
RI-1,3
RI-2,2
SC-1,5
SC-2,9
SC-5,1
SC-6,4
SC-7,1
TN-1,0
TN-2,2
TN-3,9
TN-4,6
TN-5,3
TN-6,1
TN-7,4
TN-8,3
TN-9,9
TX-1,8
TX-2,4
TX-3,0
TX-4,9
TX-5,9
TX-7,0
TX-8,5
TX-9,5
TX-10,5
TX-12,9
TX-13,1
TX-14,5
TX-15,6
TX-16,0
TX-17,9
TX-18,4
TX-20,2
TX-21,1
TX-22,8
TX-23,9
TX-24,7
TX-27,8
TX-28,1
TX-29,8
TX-30,2
TX-32,1
TX-33,6
TX-34,3
TX-35,2
TX-36,3
TX-37,0
TX-38,2
UT-1,7
UT-2,5
UT-3,9
UT-4,5
VA-1,8
VA-2,9
VA-3,5
VA-4,0
VA-5,9
VA-6,6
VA-7,2
VA-8,2
VA-9,8
VA-10,7
VA-11,6
VT-AL,4
WA-1,6
WA-2,8
WA-3,2
WA-4,3
WA-5,4
WA-6,5
WA-7,5
WA-8,9
WA-9,1
WA-10,1
WI-1,7
WI-2,2
WI-3,0
WI-4,8
WI-5,5
WI-7,5
WV-1,7
WV-2,8
WY-AL,8
