cycle,district_id,selected_baseline_margin_dem,composite_environment_margin_dem,district_elasticity,district_environment_adjustment_dem,actual_residual_from_baseline,environment_residual_error_dem,forecast_margin_dem,actual_dem_margin,baseline_dem_win,forecast_dem_win,actual_dem_win,environment_changed_winner,environment_change_correct,environment_change_incorrect,absolute_environment_overshoot
2018,WV-3,-51.3,6.57,1.0,6.57,38.55319313,-31.983193129999997,-44.73,-12.74680687,0,0,0,False,False,False,31.983193129999997
2018,MN-7,-32.9,6.57,1.0,6.57,37.164162069,-30.594162069,-26.33,4.264162069,0,0,1,False,False,False,30.594162069
2018,IL-3,13.2,6.57,1.0,6.57,33.89000869,-27.32000869,19.770000000000003,47.09000869,1,1,1,False,False,False,27.32000869
2018,NY-27,-26.6,6.57,1.0,6.57,31.388293025000003,-24.818293025000003,-20.03,4.788293025,0,0,1,False,False,False,24.818293025000003
2018,FL-25,-3.9,6.57,1.0,6.57,-17.00676314,23.57676314,2.67,-20.90676314,0,1,0,True,False,True,23.57676314
2018,WV-2,-38.5,6.57,1.0,6.57,27.516660809999998,-20.946660809999997,-31.93,-10.98333919,0,0,0,False,False,False,20.946660809999997
2018,UT-3,-26.0,6.57,1.0,6.57,-14.242140480000003,20.812140480000004,-19.43,-40.24214048,0,0,0,False,False,False,20.812140480000004
2018,IL-17,-2.8,6.57,1.0,6.57,26.98682998,-20.41682998,3.770000000000001,24.18682998,0,1,1,True,True,False,20.41682998
2018,LA-6,-35.9,6.57,1.0,6.57,-13.05782516,19.62782516,-29.33,-48.95782516,0,0,0,False,False,False,19.62782516
2018,IA-4,-29.5,6.57,1.0,6.57,26.170401691,-19.600401691,-22.93,-3.329598309,0,0,0,False,False,False,19.600401691
2018,WI-3,-6.6,6.57,1.0,6.57,25.936548260000002,-19.366548260000002,-0.0299999999999993,19.33654826,0,0,1,False,False,False,19.366548260000002
2018,CA-21,13.4,6.57,1.0,6.57,-12.6413040417,19.2113040417,19.97,0.7586959583,1,1,1,False,False,False,19.2113040417
2018,FL-26,14.2,6.57,1.0,6.57,-12.450769720999999,19.020769721,20.770000000000003,1.749230279,1,1,1,False,False,False,19.020769721
2018,HI-2,29.7,6.57,1.0,6.57,25.024637970000004,-18.454637970000004,36.27,54.72463797,1,1,1,False,False,False,18.454637970000004
2018,FL-27,17.5,6.57,1.0,6.57,-11.500063345000001,18.070063345,24.07,5.999936655,1,1,1,False,False,False,18.070063345
2018,LA-1,-44.1,6.57,1.0,6.57,-10.956901510000002,17.526901510000002,-37.53,-55.05690151,0,0,0,False,False,False,17.526901510000002
2018,NY-26,17.5,6.57,1.0,6.57,23.893721579999998,-17.323721579999997,24.07,41.39372158,1,1,1,False,False,False,17.323721579999997
2018,RI-2,5.0,6.57,1.0,6.57,22.2117552,-15.641755199999999,11.57,27.2117552,1,1,1,False,False,False,15.641755199999999
