cycle,house_environment_multiplier,baseline_partisan_bucket,districts,mean_baseline_margin_dem,mean_actual_margin_dem,mean_actual_residual_from_baseline,mean_environment_adjustment_dem,mean_environment_residual_error_dem,actual_dem_seats,baseline_dem_seats,forecast_dem_seats,baseline_seat_error,forecast_seat_error,baseline_winner_accuracy,forecast_winner_accuracy,margin_mae
2018,0.0,R+20 or more,124,-36.22177419354839,-29.586041417611295,6.635732775937097,0.0,-6.635732775937097,2,0,0,-2,-2,0.9838709677419355,0.9838709677419355,7.825676704808066
2018,0.0,R+10 to R+20,68,-15.242647058823529,-8.068592741774998,7.1740543170485305,0.0,-7.1740543170485305,8,0,0,-8,-8,0.8823529411764706,0.8823529411764706,7.546466942636763
2018,0.0,R+5 to R+10,20,-7.7,2.1673222070000002,9.867322206999997,0.0,-9.867322206999997,13,0,0,-13,-13,0.35,0.35,10.303446525999998
2018,0.0,R+0 to R+5,20,-2.4550000000000005,7.092378074850001,9.54737807485,0.0,-9.54737807485,17,0,0,-17,-17,0.15,0.15,11.489966165150001
2018,0.0,D+0 to D+5,17,2.3411764705882354,10.992219085705884,8.651042615117646,0.0,-8.651042615117646,16,17,17,1,1,0.9411764705882353,0.9411764705882353,8.925541651470589
2018,0.0,D+5 to D+10,17,7.488235294117648,17.819437601529415,10.331202307411765,0.0,-10.331202307411765,17,17,17,0,0,1.0,1.0,10.729526270235292
2018,0.0,D+10 to D+20,36,15.044444444444443,23.604052139786113,8.559607695341667,0.0,-8.559607695341667,36,36,36,0,0,1.0,1.0,11.171764515769445
2018,0.0,D+20 or more,91,43.18571428571428,48.99059724494505,5.804882959230769,0.0,-5.804882959230769,91,91,91,0,0,1.0,1.0,6.203751374395605
2018,0.5,R+20 or more,124,-36.221774193548384,-29.58604141761129,6.635732775937097,3.285,-3.350732775937096,2,0,0,-2,-2,0.9838709677419355,0.9838709677419355,6.025782814324193
2018,0.5,R+10 to R+20,68,-15.242647058823529,-8.068592741775,7.1740543170485305,3.285,-3.8890543170485294,8,0,0,-8,-8,0.8823529411764706,0.8823529411764706,5.300510085930883
2018,0.5,R+5 to R+10,20,-7.7,2.1673222070000002,9.867322206999999,3.2849999999999993,-6.582322207,13,0,0,-13,-13,0.35,0.35,7.346946525999999
2018,0.5,R+0 to R+5,20,-2.4550000000000005,7.092378074850001,9.54737807485,3.2849999999999993,-6.26237807485,17,0,13,-17,-4,0.15,0.7,8.959472141350002
2018,0.5,D+0 to D+5,17,2.3411764705882354,10.992219085705884,8.651042615117646,3.285,-5.366042615117647,16,17,17,1,1,0.9411764705882353,0.9411764705882353,6.8273033553529405
2018,0.5,D+5 to D+10,17,7.488235294117647,17.819437601529415,10.331202307411766,3.285,-7.046202307411765,17,17,17,0,0,1.0,1.0,8.124532758470588
