cycle,house_environment_multiplier,competitiveness_bucket,districts,mean_baseline_margin_dem,mean_actual_margin_dem,mean_actual_residual_from_baseline,mean_environment_adjustment_dem,mean_environment_residual_error_dem,actual_dem_seats,baseline_dem_seats,forecast_dem_seats,baseline_seat_error,forecast_seat_error,baseline_winner_accuracy,forecast_winner_accuracy,margin_mae
2018,0.0,Tossup: within 2.5,18,0.3722222222222221,9.11109538661111,8.738873164388888,0.0,-8.738873164388888,16,10,10,-6,-6,0.5555555555555556,0.5555555555555556,9.266913116833333
2018,0.0,Highly competitive: 2.5-5,19,-0.8421052631578947,8.669240473421052,9.511345736578948,0.0,-9.511345736578948,17,7,7,-10,-10,0.47368421052631576,0.47368421052631576,11.301531330263158
2018,0.0,Competitive: 5-10,36,-0.4638888888888886,9.755139035749998,10.219027924638889,0.0,-10.219027924638889,30,17,17,-13,-13,0.6388888888888888,0.6388888888888888,10.64941663986111
2018,0.0,Likely: 10-20,105,-4.808571428571429,2.8206995111485713,7.629270939720001,0.0,-7.629270939720001,44,36,36,-8,-8,0.9238095238095239,0.9238095238095239,8.766049073771427
2018,0.0,Safe: 20+,215,-2.6120930232558157,3.671977737238139,6.284070760493953,0.0,-6.284070760493953,93,91,91,-2,-2,0.9906976744186047,0.9906976744186047,7.139187378912557
2018,0.5,Tossup: within 2.5,18,0.3722222222222222,9.111095386611112,8.738873164388886,3.2849999999999997,-5.453873164388889,16,10,18,-6,2,0.5555555555555556,0.8888888888888888,7.076913116833334
2018,0.5,Highly competitive: 2.5-5,19,-0.8421052631578949,8.669240473421052,9.511345736578948,3.2849999999999997,-6.2263457365789465,17,7,12,-10,-5,0.47368421052631576,0.7368421052631579,8.835219145526315
2018,0.5,Competitive: 5-10,36,-0.46388888888888896,9.755139035749998,10.219027924638889,3.2849999999999997,-6.934027924638888,30,17,17,-13,-13,0.6388888888888888,0.6388888888888888,7.86803081486111
2018,0.5,Likely: 10-20,105,-4.808571428571429,2.8206995111485713,7.629270939720001,3.285,-4.34427093972,44,36,36,-8,-8,0.9238095238095239,0.9238095238095239,6.643516774190476
2018,0.5,Safe: 20+,215,-2.6120930232558144,3.671977737238139,6.284070760493953,3.2850000000000006,-2.9990707604939533,93,91,91,-2,-2,0.9906976744186047,0.9906976744186047,5.33659815351721
2018,0.7,Tossup: within 2.5,18,0.3722222222222222,9.111095386611112,8.738873164388886,4.599,-4.139873164388888,16,10,18,-6,2,0.5555555555555556,0.8888888888888888,6.386008811166667
2018,0.7,Highly competitive: 2.5-5,19,-0.8421052631578949,8.669240473421052,9.511345736578948,4.599000000000001,-4.912345736578947,17,7,18,-10,1,0.47368421052631576,0.8421052631578947,8.123611029526316
2018,0.7,Competitive: 5-10,36,-0.46388888888888896,9.755139035749998,10.219027924638889,4.598999999999999,-5.6200279246388885,30,17,17,-13,-13,0.6388888888888888,0.6388888888888888,6.857863434916667
2018,0.7,Likely: 10-20,105,-4.808571428571429,2.8206995111485713,7.629270939720001,4.599000000000001,-3.0302709397200007,44,36,36,-8,-8,0.9238095238095239,0.9238095238095239,6.008572026666666
2018,0.7,Safe: 20+,215,-2.6120930232558144,3.671977737238139,6.284070760493953,4.599000000000001,-1.6850707604939532,93,91,91,-2,-2,0.9906976744186047,0.9906976744186047,5.026005057238141
2018,0.73,Tossup: within 2.5,18,0.3722222222222222,9.111095386611112,8.738873164388886,4.796099999999999,-3.942773164388889,16,10,18,-6,2,0.5555555555555556,0.8888888888888888,6.298408811166666
2018,0.73,Highly competitive: 2.5-5,19,-0.8421052631578949,8.669240473421052,9.511345736578948,4.796099999999999,-4.7152457365789475,17,7,19,-10,2,0.47368421052631576,0.8947368421052632,8.047779548684211
2018,0.73,Competitive: 5-10,36,-0.46388888888888896,9.755139035749998,10.219027924638889,4.796099999999999,-5.422927924638889,30,17,17,-13,-13,0.6388888888888888,0.6388888888888888,6.748363434916667
2018,0.73,Likely: 10-20,105,-4.808571428571429,2.8206995111485713,7.629270939720001,4.796100000000001,-2.833170939720001,44,36,36,-8,-8,0.9238095238095239,0.9238095238095239,5.93160916952381
2018,0.73,Safe: 20+,215,-2.6120930232558144,3.671977737238139,6.284070760493953,4.796100000000002,-1.4879707604939534,93,91,91,-2,-2,0.9906976744186047,0.9906976744186047,4.997502710726511
2018,0.8,Tossup: within 2.5,18,0.3722222222222222,9.111095386611112,8.738873164388886,5.256,-3.4828731643888884,16,10,18,-6,2,0.5555555555555556,0.8888888888888888,6.094008811166667
2018,0.8,Highly competitive: 2.5-5,19,-0.8421052631578949,8.669240473421052,9.511345736578948,5.256,-4.255345736578948,17,7,19,-10,2,0.47368421052631576,0.8947368421052632,7.878342706578947
